Rut,Actividad,Timestamp,Tipo alerta,Alerta real,Tipo revisión,PPA,PPS,Periodo admisión,Tipo admisión,Sexo,Vigencia,Región,Establecimiento educacional,Ptj NEM,Ptj Ranking,Ptj Selección,Preferencia,Puesto ingreso,Estado Civil,Vive con,Sistema de Salud
61,Alert semester 2,08-2019,"28a,28b",True,,1.63,1.63,,,,,,,,,,,,,,
61,Stopout semester 3,01-2020,,,,,,,,,,,,,,,,,,,
61,Stopout semester 4,08-2020,,,,,,,,,,,,,,,,,,,
61,Alert semester 5,01-2021,28c,True,,3.9,6.18,,,,,,,,,,,,,,
61,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
62,Alert semester 1,01-2019,"28a,28b",True,,2.33,2.33,201920,60 - PSU,M,Vigente,XV R. de Arica y Parinacota,Particular Subvencionado,313,672,405,1,900,C - Casado,Institucion,Isapre Banmedica S.A.
62,No Alert semester 2,08-2019,,,,4.23,6.14,,,,,,,,,,,,,,
62,Alert semester 3,01-2020,28e,True,,3.46,1.91,,,,,,,,,,,,,,
62,Alert semester 4,08-2020,28e,True,,3.97,5.5,,,,,,,,,,,,,,
62,No Alert semester 5,01-2021,,,,4.18,5.0,,,,,,,,,,,,,,
62,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
63,Alert semester 1,01-2019,"28a,28b",True,,3.09,3.09,201920,60 - PSU,M,Vigente,I R. de Tarapaca,Particular Subvencionado,70,748,681,2,887,S - Soltero,Solo (Independiente),Isapre Fund Salud Trab BcoEsta
63,Alert semester 2,08-2019,28c,True,,3.73,4.38,,,,,,,,,,,,,,
63,No Alert semester 3,01-2020,,,,4.48,5.96,,,,,,,,,,,,,,
63,Alert semester 4,08-2020,28e,True,,3.75,1.57,,,,,,,,,,,,,,
63,Alert semester 5,01-2021,28e,True,,3.42,2.08,,,,,,,,,,,,,,
63,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
64,No Alert semester 1,01-2019,,,,4.56,4.56,201920,60 - PSU,M,Vigente,I R. de Tarapaca,Particular Pagado,559,431,577,1,227,C - Casado,Institucion,Isapre Consalud
64,Alert semester 2,08-2019,"28c,28d",True,,3.25,1.94,,,,,,,,,,,,,,
64,Stopout semester 3,01-2020,,,,,,,,,,,,,,,,,,,
64,Stopout semester 4,08-2020,,,,,,,,,,,,,,,,,,,
64,Stopout semester 5,01-2021,,,,,,,,,,,,,,,,,,,
64,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
65,Alert semester 1,01-2019,"28a,28b",True,,1.83,1.83,201920,60 - PSU,F,Vigente,V R. de Valparaíso,Particular Pagado,665,764,431,1,73,D - Divorciado,Solo con mi madre,Isapre Consalud S.A.
65,Alert semester 2,08-2019,"28c,28d",True,,2.87,3.9,,,,,,,,,,,,,,
65,Alert semester 3,01-2020,28e,True,,3.47,4.68,,,,,,,,,,,,,,
65,Alert semester 4,08-2020,28e,True,,3.84,4.96,,,,,,,,,,,,,,
65,Alert semester 5,01-2021,28e,True,,3.67,2.99,,,,,,,,,,,,,,
65,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
66,Alert semester 1,01-2019,"28a,28b",True,,1.64,1.64,201920,60 - PSU,F,Vigente,XIII R. Metropolitana,Particular Pagado,100,532,133,1,550,S - Soltero,Solo con mi padre,Isapre Fund. Salud El Teniente
66,Alert semester 2,08-2019,"28c,28d",True,,3.69,5.73,,,,,,,,,,,,,,
66,Alert semester 3,01-2020,28e,True,,3.3,2.52,,,,,,,,,,,,,,
66,Alert semester 4,08-2020,28e,True,,3.07,2.4,,,,,,,,,,,,,,
66,Alert semester 5,01-2021,28e,True,,3.35,4.44,,,,,,,,,,,,,,
66,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
67,Alert semester 1,01-2019,"28a,28b",True,,3.45,3.45,201920,60 - PSU,F,Vigente,XVI R. de Ñuble,Municipal,589,464,0,2,249,C - Casado,Uno De Los Padres,Isapre Chuquicamata
67,Alert semester 2,08-2019,"28c,28d",True,,3.93,4.4,,,,,,,,,,,,,,
67,No Alert semester 3,01-2020,,,,4.5,5.66,,,,,,,,,,,,,,
67,No Alert semester 4,08-2020,,,,4.25,3.5,,,,,,,,,,,,,,
67,Alert semester 5,01-2021,28e,True,,3.92,2.6,,,,,,,,,,,,,,
67,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
68,Alert semester 1,01-2019,"28a,28b",True,,2.2,2.2,201920,60 - PSU,F,Vigente,XIII R. Metropolitana,Particular Subvencionado,745,306,24,2,176,C - Casado,Solo con mi padre,Isapre Consalud
68,Alert semester 2,08-2019,"28c,28d",True,,1.79,1.38,,,,,,,,,,,,,,
68,Alert semester 3,01-2020,28e,True,,2.73,4.61,,,,,,,,,,,,,,
68,Alert semester 4,08-2020,28e,True,,2.73,2.73,,,,,,,,,,,,,,
68,Alert semester 5,01-2021,28e,True,,2.82,3.18,,,,,,,,,,,,,,
68,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
69,No Alert semester 1,01-2019,,,,5.87,5.87,201920,60 - PSU,M,Vigente,XVI R. de Ñuble,Particular Pagado,64,451,460,2,144,,Solo con mi padre,Isapre Banmedica S.A.
69,No Alert semester 2,08-2019,,,,5.79,5.7,,,,,,,,,,,,,,
69,No Alert semester 3,01-2020,,,,5.42,4.69,,,,,,,,,,,,,,
69,No Alert semester 4,08-2020,,,,4.55,1.95,,,,,,,,,,,,,,
69,No Alert semester 5,01-2021,,,,4.48,4.17,,,,,,,,,,,,,,
69,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
71,Alert semester 1,01-2019,"28a,28b",True,,2.44,2.44,201920,60 - PSU,F,Vigente,XIII R. Metropolitana,Particular Subvencionado,313,31,465,2,315,S - Soltero,"Hermanos, Parientes, Amigos",
71,No Alert semester 2,08-2019,,,,4.0,5.55,,,,,,,,,,,,,,
71,No Alert semester 3,01-2020,,,,4.67,6.03,,,,,,,,,,,,,,
71,Alert semester 4,08-2020,28e,True,,3.93,1.7,,,,,,,,,,,,,,
71,Alert semester 5,01-2021,28e,True,,3.74,2.98,,,,,,,,,,,,,,
71,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
73,Alert semester 1,01-2019,"28a,28b",True,,2.84,2.84,201920,60 - PSU,F,Vigente,,Particular Pagado,211,207,302,1,200,C - Casado,No Tiene,Isapre Ferrosalud S.A.
73,Stopout semester 2,08-2019,,,,,,,,,,,,,,,,,,,
73,Stopout semester 3,01-2020,,,,,,,,,,,,,,,,,,,
73,Stopout semester 4,08-2020,,,,,,,,,,,,,,,,,,,
73,Alert semester 5,01-2021,"28c,28d",True,,2.58,2.33,,,,,,,,,,,,,,
73,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
74,Stopout semester 1,01-2019,,,,,,201920,60 - PSU,F,Vigente,II R. de Antofagasta,Particular Subvencionado,323,362,483,1,176,,No Tiene,Isapre Fund Salud Trab BcoEsta
74,Alert semester 2,08-2019,"28a,28b",True,,1.59,1.59,,,,,,,,,,,,,,
74,Alert semester 3,01-2020,28c,True,,3.02,4.46,,,,,,,,,,,,,,
74,Alert semester 4,08-2020,28e,True,,3.81,5.37,,,,,,,,,,,,,,
74,Stopout semester 5,01-2021,,,,,,,,,,,,,,,,,,,
74,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
75,No Alert semester 1,01-2019,,,,6.37,6.37,201920,60 - PSU,M,Vigente,XVI R. de Ñuble,Particular Pagado,650,714,573,1,545,C - Casado,"Con pareja (conyuge, conviv.)",Isapre Ferrosalud S.A.
75,No Alert semester 2,08-2019,,,,5.76,5.15,,,,,,,,,,,,,,
75,No Alert semester 3,01-2020,,,,5.08,3.73,,,,,,,,,,,,,,
75,No Alert semester 4,08-2020,,,,4.28,1.86,,,,,,,,,,,,,,
75,Alert semester 5,01-2021,28e,True,,3.98,2.77,,,,,,,,,,,,,,
75,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
78,No Alert semester 1,01-2019,,,,6.22,6.22,201920,60 - PSU,F,Vigente,XIV R. de los Rios,Particular Pagado,430,730,138,2,712,,Ambos Padres,Isapre San Lorenzo Ltda.
78,No Alert semester 2,08-2019,,,,5.7,5.18,,,,,,,,,,,,,,
78,No Alert semester 3,01-2020,,,,4.58,2.34,,,,,,,,,,,,,,
78,No Alert semester 4,08-2020,,,,4.09,2.61,,,,,,,,,,,,,,
78,No Alert semester 5,01-2021,,,,4.42,5.74,,,,,,,,,,,,,,
78,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
79,No Alert semester 1,01-2019,,,,6.31,6.31,201920,60 - PSU,M,Vigente,No tiene,Particular Pagado,797,455,425,1,173,U - Acuerdo de Unión Civil,,Isapre Vida Tres S.A.
79,No Alert semester 2,08-2019,,,,6.34,6.37,,,,,,,,,,,,,,
79,No Alert semester 3,01-2020,,,,4.83,1.8,,,,,,,,,,,,,,
79,Stopout semester 4,08-2020,,,,,,,,,,,,,,,,,,,
79,Stopout semester 5,01-2021,,,,,,,,,,,,,,,,,,,
79,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
80,Alert semester 1,01-2019,"28a,28b",True,,1.44,1.44,201920,60 - PSU,F,Vigente,V R. de Valparaíso,Particular Pagado,228,314,123,1,275,,Hogar de menores,Isapre Consalud S.A.
80,Alert semester 2,08-2019,"28c,28d",True,,2.08,2.71,,,,,,,,,,,,,,
80,Alert semester 3,01-2020,28e,True,,1.89,1.52,,,,,,,,,,,,,,
80,Alert semester 4,08-2020,28e,True,,2.04,2.48,,,,,,,,,,,,,,
80,Alert semester 5,01-2021,28e,True,,2.05,2.12,,,,,,,,,,,,,,
80,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
81,No Alert semester 1,01-2019,,,,4.73,4.73,201920,60 - PSU,M,Vigente,X R. de los Lagos,Particular Pagado,185,737,241,2,809,,No Tiene,Otra Institución
81,Alert semester 2,08-2019,28c,True,,3.05,1.36,,,,,,,,,,,,,,
81,Alert semester 3,01-2020,28e,True,,3.0,2.92,,,,,,,,,,,,,,
81,Alert semester 4,08-2020,28e,True,,2.94,2.75,,,,,,,,,,,,,,
81,Alert semester 5,01-2021,28e,True,,3.45,5.47,,,,,,,,,,,,,,
81,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
82,Alert semester 1,01-2019,"28a,28b",True,,1.67,1.67,201920,60 - PSU,F,Vigente,XI R. de Aysen del G.C.Ibañez,Particular Pagado,279,381,677,1,604,,Solo con mi padre,Isapre Rio Blanco Ltda.
82,Alert semester 2,08-2019,28c,True,,2.98,4.29,,,,,,,,,,,,,,
82,Alert semester 3,01-2020,28e,True,,2.84,2.56,,,,,,,,,,,,,,
82,Alert semester 4,08-2020,28e,True,,3.29,4.62,,,,,,,,,,,,,,
82,Alert semester 5,01-2021,28e,True,,3.99,6.82,,,,,,,,,,,,,,
82,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
83,Alert semester 1,01-2019,"28a,28b",True,,2.95,2.95,201920,60 - PSU,F,Vigente,VII R. del Maule,Particular Pagado,528,234,308,1,683,S - Soltero,Solo con mi padre,Isapre Ferrosalud S.A.
83,Alert semester 2,08-2019,28d,True,,4.39,5.84,,,,,,,,,,,,,,
83,No Alert semester 3,01-2020,,,,4.98,6.14,,,,,,,,,,,,,,
83,No Alert semester 4,08-2020,,,,4.83,4.41,,,,,,,,,,,,,,
83,No Alert semester 5,01-2021,,,,4.82,4.74,,,,,,,,,,,,,,
83,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
84,No Alert semester 1,01-2019,,,,5.17,5.17,201920,60 - PSU,F,Vigente,VI R. del L.B.OHiggins,Particular Pagado,231,283,135,1,473,U - Acuerdo de Unión Civil,Solo con mi madre,Isapre Consalud S.A.
84,No Alert semester 2,08-2019,,,,5.38,5.59,,,,,,,,,,,,,,
84,No Alert semester 3,01-2020,,,,4.26,2.03,,,,,,,,,,,,,,
84,No Alert semester 4,08-2020,,,,4.48,5.14,,,,,,,,,,,,,,
84,No Alert semester 5,01-2021,,,,4.16,2.89,,,,,,,,,,,,,,
84,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
85,No Alert semester 1,01-2019,,,,5.22,5.22,201920,60 - PSU,M,Vigente,VI R. del L.B.OHiggins,Particular Pagado,78,450,540,1,543,,"Con pareja (conyuge, conviv.)",Isapre Vida Tres S.A.
85,No Alert semester 2,08-2019,,,,6.07,6.92,,,,,,,,,,,,,,
85,No Alert semester 3,01-2020,,,,5.87,5.47,,,,,,,,,,,,,,
85,No Alert semester 4,08-2020,,,,5.99,6.34,,,,,,,,,,,,,,
85,No Alert semester 5,01-2021,,,,5.35,2.79,,,,,,,,,,,,,,
85,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
86,Alert semester 1,01-2019,"28a,28b",True,,3.02,3.02,201920,60 - PSU,F,Vigente,V R. de Valparaíso,Particular Subvencionado,46,7,614,2,550,U - Acuerdo de Unión Civil,Otros,Fonasa
86,Alert semester 2,08-2019,"28c,28d",True,,2.7,2.38,,,,,,,,,,,,,,
86,Alert semester 3,01-2020,28e,True,,2.97,3.51,,,,,,,,,,,,,,
86,Alert semester 4,08-2020,28e,True,,2.94,2.85,,,,,,,,,,,,,,
86,Alert semester 5,01-2021,28e,True,,3.04,3.42,,,,,,,,,,,,,,
86,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
87,Alert semester 1,01-2019,"28a,28b",True,,2.85,2.85,201920,60 - PSU,M,Vigente,XII R. de Magallanes y La Anta,Particular Subvencionado,256,433,582,1,168,U - Acuerdo de Unión Civil,Hogar de menores,Isapre Masvida
87,Alert semester 2,08-2019,"28c,28d",True,,3.31,3.78,,,,,,,,,,,,,,
87,Alert semester 3,01-2020,28e,True,,3.31,3.29,,,,,,,,,,,,,,
87,Alert semester 4,08-2020,28e,True,,3.1,2.48,,,,,,,,,,,,,,
87,Alert semester 5,01-2021,28e,True,,2.92,2.22,,,,,,,,,,,,,,
87,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
88,Alert semester 1,01-2019,"28a,28b",True,,3.84,3.84,201920,60 - PSU,F,Vigente,,Particular Pagado,291,773,194,1,183,D - Divorciado,Hogar de menores,Isapre Chuquicamata
88,No Alert semester 2,08-2019,,,,5.01,6.18,,,,,,,,,,,,,,
88,Alert semester 3,01-2020,28e,True,,3.82,1.44,,,,,,,,,,,,,,
88,No Alert semester 4,08-2020,,,,4.05,4.73,,,,,,,,,,,,,,
88,No Alert semester 5,01-2021,,,,4.05,4.07,,,,,,,,,,,,,,
88,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
89,Alert semester 1,01-2019,"28a,28b",True,,2.61,2.61,201920,60 - PSU,M,Vigente,V R. de Valparaíso,Particular Pagado,285,751,561,1,190,C - Casado,Solo (Independiente),Sin Prevision
89,Alert semester 2,08-2019,"28c,28d",True,,2.21,1.82,,,,,,,,,,,,,,
89,Stopout semester 3,01-2020,,,,,,,,,,,,,,,,,,,
89,Alert semester 4,08-2020,28e,True,,3.81,6.99,,,,,,,,,,,,,,
89,Alert semester 5,01-2021,28e,True,,3.59,2.95,,,,,,,,,,,,,,
89,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
92,Alert semester 1,01-2019,"28a,28b",True,,1.94,1.94,201920,60 - PSU,F,Vigente,I R. de Tarapaca,Particular Subvencionado,184,65,569,2,328,S - Soltero,Hogar de menores,Isapre Ferrosalud S.A.
92,Alert semester 2,08-2019,28c,True,,3.61,5.28,,,,,,,,,,,,,,
92,No Alert semester 3,01-2020,,,,4.47,6.2,,,,,,,,,,,,,,
92,No Alert semester 4,08-2020,,,,4.12,3.07,,,,,,,,,,,,,,
92,No Alert semester 5,01-2021,,,,4.39,5.48,,,,,,,,,,,,,,
92,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
93,Alert semester 1,01-2019,"28a,28b",True,,2.99,2.99,201920,60 - PSU,M,Vigente,I R. de Tarapaca,Particular Subvencionado,674,495,32,2,517,S - Soltero,Con ambos padres,Isapre Masvida
93,Alert semester 2,08-2019,28c,True,,3.67,4.35,,,,,,,,,,,,,,
93,Alert semester 3,01-2020,28e,True,,3.25,2.41,,,,,,,,,,,,,,
93,Alert semester 4,08-2020,28e,True,,2.87,1.72,,,,,,,,,,,,,,
93,Alert semester 5,01-2021,28e,True,,3.61,6.58,,,,,,,,,,,,,,
93,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
94,Alert semester 1,01-2019,"28a,28b",True,,2.15,2.15,201920,60 - PSU,F,Vigente,VI R. del L.B.OHiggins,Particular Subvencionado,649,700,533,1,608,D - Divorciado,Otros parientes,Isapre Chuquicamata
94,Alert semester 2,08-2019,"28c,28d",True,,2.62,3.1,,,,,,,,,,,,,,
94,Stopout semester 3,01-2020,,,,,,,,,,,,,,,,,,,
94,Stopout semester 4,08-2020,,,,,,,,,,,,,,,,,,,
94,Stopout semester 5,01-2021,,,,,,,,,,,,,,,,,,,
94,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
96,Stopout semester 1,01-2019,,,,,,201920,60 - PSU,M,Vigente,V R. de Valparaíso,Particular Pagado,446,240,684,2,560,,Solo,Isapre Cruz Blanca S.A.
96,Stopout semester 2,08-2019,,,,,,,,,,,,,,,,,,,
96,Stopout semester 3,01-2020,,,,,,,,,,,,,,,,,,,
96,Alert semester 4,08-2020,"28a,28b",True,,3.26,3.26,,,,,,,,,,,,,,
96,No Alert semester 5,01-2021,,,,4.79,6.32,,,,,,,,,,,,,,
96,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
98,No Alert semester 1,01-2019,,,,5.89,5.89,201920,60 - PSU,F,Vigente,XI R. de Aysen del G.C.Ibañez,Particular Pagado,500,557,226,2,267,U - Acuerdo de Unión Civil,Con ambos padres,Isapre Chuquicamata
98,No Alert semester 2,08-2019,,,,5.29,4.69,,,,,,,,,,,,,,
98,No Alert semester 3,01-2020,,,,5.4,5.63,,,,,,,,,,,,,,
98,No Alert semester 4,08-2020,,,,4.92,3.47,,,,,,,,,,,,,,
98,Stopout semester 5,01-2021,,,,,,,,,,,,,,,,,,,
98,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
99,No Alert semester 1,01-2019,,,,6.28,6.28,201920,60 - PSU,F,Vigente,IV R. de Coquimbo,Particular Pagado,36,207,611,1,586,D - Divorciado,Uno De Los Padres,Isapre San Lorenzo Ltda.
99,Alert semester 2,08-2019,28c,True,,3.75,1.23,,,,,,,,,,,,,,
99,Alert semester 3,01-2020,28e,True,,3.45,2.85,,,,,,,,,,,,,,
99,Alert semester 4,08-2020,28e,True,,3.06,1.9,,,,,,,,,,,,,,
99,Alert semester 5,01-2021,28e,True,,3.47,5.08,,,,,,,,,,,,,,
99,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
100,No Alert semester 1,01-2019,,,,6.88,6.88,201920,60 - PSU,F,Vigente,X R. de los Lagos,Particular Pagado,459,184,332,1,622,D - Divorciado,Ambos Padres,Otra Institución
100,No Alert semester 2,08-2019,,,,6.48,6.09,,,,,,,,,,,,,,
100,No Alert semester 3,01-2020,,,,6.42,6.3,,,,,,,,,,,,,,
100,No Alert semester 4,08-2020,,,,5.46,2.58,,,,,,,,,,,,,,
100,No Alert semester 5,01-2021,,,,5.54,5.83,,,,,,,,,,,,,,
100,Taking courses,07-2021,,,,,,,,,,,,,,,,,,,
17,Alert semester 1,01-2019,"28a,28b",True,,3.07,3.07,201920,60 - PSU,M,No vigente,IX R. de la Araucanía,Municipal,317,280,576,2,741,D - Divorciado,El Conyuge,Fonasa
17,Stopout semester 2,08-2019,,,,,,,,,,,,,,,,,,,
17,Alert semester 3,01-2020,"28c,28d",True,,2.95,2.83,,,,,,,,,,,,,,
17,Expelled,07-2020,,,,,,,,,,,,,,,,,,,
19,No Alert semester 1,01-2019,,,,6.36,6.36,201920,60 - PSU,F,No vigente,V R. de Valparaíso,Particular Pagado,104,144,636,1,134,C - Casado,"Con pareja (conyuge, conviv.)",Isapre Ing Salud S.A.
19,No Alert semester 2,08-2019,,,,4.55,2.75,,,,,,,,,,,,,,
19,No Alert semester 3,01-2020,,,,4.21,3.53,,,,,,,,,,,,,,
19,No Alert semester 4,08-2020,,,,4.17,4.06,,,,,,,,,,,,,,
19,Expelled,12-2020,,,,,,,,,,,,,,,,,,,
21,Alert semester 1,01-2019,"28a,28b",True,,2.72,2.72,201920,60 - PSU,M,No vigente,XIV R. de los Rios,Particular Pagado,197,411,37,2,606,,Solo con mi padre,Isapre Rio Blanco Ltda.
21,Stopout semester 2,08-2019,,,,,,,,,,,,,,,,,,,
21,Alert semester 3,01-2020,"28c,28d",True,,2.71,2.71,,,,,,,,,,,,,,
21,Alert semester 4,08-2020,28e,True,,2.99,3.54,,,,,,,,,,,,,,
21,Expelled,12-2020,,,,,,,,,,,,,,,,,,,
27,Stopout semester 1,01-2019,,,,,,201920,60 - PSU,F,No vigente,IX R. de la Araucanía,Particular Pagado,410,627,716,2,807,,No Tiene,Isapre Colmena Golden Cross SA
27,Alert semester 2,08-2019,"28a,28b",True,,3.25,3.25,,,,,,,,,,,,,,
27,Alert semester 3,01-2020,28c,True,,3.74,4.23,,,,,,,,,,,,,,
27,Alert semester 4,08-2020,28e,True,,3.89,4.18,,,,,,,,,,,,,,
27,Dropout,12-2020,,,,,,,,,,,,,,,,,,,
30,Alert semester 1,01-2019,"28a,28b",True,,2.92,2.92,201920,60 - PSU,F,No vigente,VI R. del L.B.OHiggins,Particular Subvencionado,451,108,570,2,209,C - Casado,,Isapre Cruz Blanca S.A.
30,Alert semester 2,08-2019,"28c,28d",True,,2.71,2.49,,,,,,,,,,,,,,
30,Expelled,12-2019,,,,,,,,,,,,,,,,,,,
35,No Alert semester 1,01-2019,,,,6.32,6.32,201920,60 - PSU,M,No vigente,XIV R. de los Rios,Particular Pagado,27,642,675,1,795,D - Divorciado,Institucion,Isapre Rio Blanco Ltda.
35,No Alert semester 2,08-2019,,,,5.07,3.81,,,,,,,,,,,,,,
35,Expelled,12-2019,,,,,,,,,,,,,,,,,,,
39,Stopout semester 1,01-2019,,,,,,201920,60 - PSU,M,No vigente,XI R. de Aysen del G.C.Ibañez,Particular Pagado,747,138,244,1,573,D - Divorciado,Otros,Isapre Consalud
39,Dropout,07-2019,,,,,,,,,,,,,,,,,,,
40,Alert semester 1,01-2019,"28a,28b",True,,3.0,3.0,201920,60 - PSU,M,No vigente,XIV R. de los Rios,Particular Subvencionado,270,172,763,2,615,C - Casado,Hogar de menores,Isapre Masvida
40,Alert semester 2,08-2019,"28c,28d",True,,3.52,4.04,,,,,,,,,,,,,,
40,Alert semester 3,01-2020,28e,True,,3.42,3.21,,,,,,,,,,,,,,
40,Alert semester 4,08-2020,28e,True,,3.56,4.0,,,,,,,,,,,,,,
40,Expelled,12-2020,,,,,,,,,,,,,,,,,,,
42,Alert semester 1,01-2019,"28a,28b",True,,2.58,2.58,201920,60 - PSU,F,No vigente,XIII R. Metropolitana,Municipal,372,246,776,2,850,U - Acuerdo de Unión Civil,Solo,Sin Prevision
42,Alert semester 2,08-2019,"28c,28d",True,,2.83,3.07,,,,,,,,,,,,,,
42,Expelled,12-2019,,,,,,,,,,,,,,,,,,,
49,No Alert semester 1,01-2019,,,,5.99,5.99,201920,60 - PSU,F,No vigente,I R. de Tarapaca,Particular Pagado,344,532,134,2,249,,Otros parientes,Isapre Rio Blanco Ltda.
49,No Alert semester 2,08-2019,,,,4.82,3.65,,,,,,,,,,,,,,
49,No Alert semester 3,01-2020,,,,4.58,4.09,,,,,,,,,,,,,,
49,Expelled,07-2020,,,,,,,,,,,,,,,,,,,
52,Stopout semester 1,01-2019,,,,,,201920,60 - PSU,F,No vigente,,Particular Pagado,104,481,353,2,638,U - Acuerdo de Unión Civil,,Isapre Consalud
52,Stopout semester 2,08-2019,,,,,,,,,,,,,,,,,,,
52,Stopout semester 3,01-2020,,,,,,,,,,,,,,,,,,,
52,Stopout semester 4,08-2020,,,,,,,,,,,,,,,,,,,
52,Stopout semester 5,01-2021,,,,,,,,,,,,,,,,,,,
52,Dropout,07-2021,,,,,,,,,,,,,,,,,,,
55,Alert semester 1,01-2019,"28a,28b",True,,3.34,3.34,201920,60 - PSU,M,No vigente,VIII R. del Biobío,Particular Subvencionado,444,120,579,1,538,U - Acuerdo de Unión Civil,"Hermanos, Parientes, Amigos",Isapre Vida Tres S.A.
55,Alert semester 2,08-2019,"28c,28d",True,,3.82,4.3,,,,,,,,,,,,,,
55,Alert semester 3,01-2020,28e,True,,3.38,2.49,,,,,,,,,,,,,,
55,Alert semester 4,08-2020,28e,True,,3.51,3.93,,,,,,,,,,,,,,
55,Expelled,12-2020,,,,,,,,,,,,,,,,,,,
56,No Alert semester 1,01-2019,,,,4.47,4.47,201920,60 - PSU,M,No vigente,VIII R. del Biobío,Particular Pagado,338,537,533,2,430,C - Casado,"Hermanos, Parientes, Amigos",Isapre Alemana Salud S.A.
56,Alert semester 2,08-2019,28c,True,,3.93,3.4,,,,,,,,,,,,,,
56,No Alert semester 3,01-2020,,,,4.06,4.31,,,,,,,,,,,,,,
56,Expelled,07-2020,,,,,,,,,,,,,,,,,,,
58,No Alert semester 1,01-2019,,,,4.67,4.67,201920,60 - PSU,F,No vigente,XV R. de Arica y Parinacota,Particular Pagado,630,443,749,2,611,C - Casado,No Tiene,Isapre Fund Salud Trab BcoEsta
58,No Alert semester 2,08-2019,,,,4.46,4.24,,,,,,,,,,,,,,
58,Alert semester 3,01-2020,28e,True,,3.74,2.32,,,,,,,,,,,,,,
58,Alert semester 4,08-2020,28e,True,,3.5,2.79,,,,,,,,,,,,,,
58,Alert semester 5,01-2021,28e,True,,3.61,4.04,,,,,,,,,,,,,,
58,Expelled,07-2021,,,,,,,,,,,,,,,,,,,
59,No Alert semester 1,01-2019,,,,5.97,5.97,201920,60 - PSU,F,No vigente,XI R. de Aysen del G.C.Ibañez,Particular Pagado,329,769,312,1,250,S - Soltero,El Conyuge,
59,No Alert semester 2,08-2019,,,,4.95,3.93,,,,,,,,,,,,,,
59,Alert semester 3,01-2020,28e,True,,3.97,2.0,,,,,,,,,,,,,,
59,Alert semester 4,08-2020,28e,True,,3.7,2.91,,,,,,,,,,,,,,
59,Stopout semester 5,01-2021,,,,,,,,,,,,,,,,,,,
59,Expelled,07-2021,,,,,,,,,,,,,,,,,,,
70,Alert semester 1,01-2019,"28a,28b",True,,2.99,2.99,201920,60 - PSU,M,No vigente,XI R. de Aysen del G.C.Ibañez,Particular Pagado,365,708,599,1,46,S - Soltero,"Hermanos, Parientes, Amigos",
70,Alert semester 2,08-2019,"28c,28d",True,,2.4,1.8,,,,,,,,,,,,,,
70,Alert semester 3,01-2020,28e,True,,2.66,3.2,,,,,,,,,,,,,,
70,Expelled,07-2020,,,,,,,,,,,,,,,,,,,
72,No Alert semester 1,01-2019,,,,6.22,6.22,201920,60 - PSU,M,No vigente,III R. de Atacama,Particular Pagado,332,510,146,2,899,C - Casado,Solo,Fonasa
72,No Alert semester 2,08-2019,,,,5.09,3.96,,,,,,,,,,,,,,
72,No Alert semester 3,01-2020,,,,4.81,4.25,,,,,,,,,,,,,,
72,No Alert semester 4,08-2020,,,,4.29,2.71,,,,,,,,,,,,,,
72,No Alert semester 5,01-2021,,,,4.21,3.89,,,,,,,,,,,,,,
72,Expelled,07-2021,,,,,,,,,,,,,,,,,,,
76,Stopout semester 1,01-2019,,,,,,201920,60 - PSU,F,No vigente,No tiene,Particular Subvencionado,647,241,196,1,665,S - Soltero,Uno De Los Padres,Isapre Alemana Salud S.A.
76,Dropout,07-2019,,,,,,,,,,,,,,,,,,,
