RUT,PERIODO ADMISIÓN,PERIODO ACADÉMICO,SITUACIÓN ACADÉMICA POR SEM,PPS,PPA,CRED INSCR PER,CRED APROB PER,CRED REPRO PER,CRED INSCR ACUM,CRED APROB ACUM,CRED REPRO ACUM
85,201920,202020,INPROGRESS - En progreso,5.47,5.87,10,5,5,40,30,10
85,201920,202022,INPROGRESS - En progreso,6.34,5.99,20,15,5,60,45,15
85,201920,202120,INPROGRESS - En progreso,2.79,5.35,40,5,35,100,50,50
86,201920,201920,INPROGRESS - En progreso,3.02,3.02,65,10,55,65,10,55
86,201920,201922,INPROGRESS - En progreso,2.38,2.7,30,0,30,95,10,85
86,201920,202020,INPROGRESS - En progreso,3.51,2.97,15,5,10,110,15,95
86,201920,202022,INPROGRESS - En progreso,2.85,2.94,55,0,55,165,15,150
86,201920,202120,INPROGRESS - En progreso,3.42,3.04,60,10,50,225,25,200
87,201920,201920,INPROGRESS - En progreso,2.85,2.85,55,10,45,55,10,45
87,201920,201922,INPROGRESS - En progreso,3.78,3.31,40,5,35,95,15,80
87,201920,202020,INPROGRESS - En progreso,3.29,3.31,10,0,10,105,15,90
87,201920,202022,INPROGRESS - En progreso,2.48,3.1,50,10,40,155,25,130
87,201920,202120,INPROGRESS - En progreso,2.22,2.92,25,5,20,180,30,150
88,201920,201920,INPROGRESS - En progreso,3.84,3.84,45,10,35,45,10,35
88,201920,201922,INPROGRESS - En progreso,6.18,5.01,25,20,5,70,30,40
88,201920,202020,INPROGRESS - En progreso,1.44,3.82,65,5,60,135,35,100
88,201920,202022,INPROGRESS - En progreso,4.73,4.05,50,35,15,185,70,115
88,201920,202120,INPROGRESS - En progreso,4.07,4.05,55,55,0,240,125,115
89,201920,201920,INPROGRESS - En progreso,2.61,2.61,35,0,35,35,0,35
89,201920,201922,INPROGRESS - En progreso,1.82,2.21,25,5,20,60,5,55
89,201920,202020,SUSPESTUDIOS - Suspensión de estudios,0,2.21,0,0,0,60,5,55
89,201920,202022,INPROGRESS - En progreso,6.99,3.81,40,30,10,100,35,65
89,201920,202120,INPROGRESS - En progreso,2.95,3.59,50,5,45,150,40,110
92,201920,201920,INPROGRESS - En progreso,1.94,1.94,25,5,20,25,5,20
92,201920,201922,INPROGRESS - En progreso,5.28,3.61,40,30,10,65,35,30
92,201920,202020,INPROGRESS - En progreso,6.2,4.47,25,15,10,90,50,40
92,201920,202022,INPROGRESS - En progreso,3.07,4.12,25,0,25,115,50,65
92,201920,202120,INPROGRESS - En progreso,5.48,4.39,45,40,5,160,90,70
93,201920,201920,INPROGRESS - En progreso,2.99,2.99,15,5,10,15,5,10
93,201920,201922,INPROGRESS - En progreso,4.35,3.67,35,30,5,50,35,15
93,201920,202020,INPROGRESS - En progreso,2.41,3.25,60,5,55,110,40,70
93,201920,202022,INPROGRESS - En progreso,1.72,2.87,45,0,45,155,40,115
93,201920,202120,INPROGRESS - En progreso,6.58,3.61,30,25,5,185,65,120
94,201920,201920,INPROGRESS - En progreso,2.15,2.15,40,0,40,40,0,40
94,201920,201922,INPROGRESS - En progreso,3.1,2.62,65,5,60,105,5,100
94,201920,202020,SUSPESTUDIOS - Suspensión de estudios,0,2.62,0,0,0,105,5,100
94,201920,202022,SUSPESTUDIOS - Suspensión de estudios,0,2.62,0,0,0,105,5,100
94,201920,202120,SUSPESTUDIOS - Suspensión de estudios,0,2.62,0,0,0,105,5,100
96,201920,201920,SUSPESTUDIOS - Suspensión de estudios,0,0,0,0,0,0,0,0
96,201920,201922,SUSPESTUDIOS - Suspensión de estudios,0,0,0,0,0,0,0,0
96,201920,202020,SUSPESTUDIOS - Suspensión de estudios,0,0,0,0,0,0,0,0
96,201920,202022,INPROGRESS - En progreso,3.26,3.26,55,5,50,55,5,50
96,201920,202120,INPROGRESS - En progreso,6.32,4.79,15,10,5,70,15,55
98,201920,201920,INPROGRESS - En progreso,5.89,5.89,20,15,5,20,15,5
98,201920,201922,INPROGRESS - En progreso,4.69,5.29,35,25,10,55,40,15
98,201920,202020,INPROGRESS - En progreso,5.63,5.4,60,40,20,115,80,35
98,201920,202022,INPROGRESS - En progreso,3.47,4.92,40,0,40,155,80,75
98,201920,202120,SUSPESTUDIOS - Suspensión de estudios,0,4.92,0,0,0,155,80,75
99,201920,201920,INPROGRESS - En progreso,6.28,6.28,40,40,0,40,40,0
99,201920,201922,INPROGRESS - En progreso,1.23,3.75,20,5,15,60,45,15
99,201920,202020,INPROGRESS - En progreso,2.85,3.45,35,5,30,95,50,45
99,201920,202022,INPROGRESS - En progreso,1.9,3.06,25,0,25,120,50,70
99,201920,202120,INPROGRESS - En progreso,5.08,3.47,25,20,5,145,70,75
100,201920,201920,INPROGRESS - En progreso,6.88,6.88,10,5,5,10,5,5
100,201920,201922,INPROGRESS - En progreso,6.09,6.48,50,35,15,60,40,20
100,201920,202020,INPROGRESS - En progreso,6.3,6.42,65,65,0,125,105,20
100,201920,202022,INPROGRESS - En progreso,2.58,5.46,15,5,10,140,110,30
100,201920,202120,INPROGRESS - En progreso,5.83,5.54,25,20,5,165,130,35
